# Wind field over Gaussian hill
# x y u v (m/s, UTM Zone 11N)
330000.00 3775000.00 5.069751 -0.237495
330020.41 3775000.00 4.887573 -0.138395
330040.82 3775000.00 5.118325 0.088350
330061.22 3775000.00 5.196224 -0.206531
330081.63 3775000.00 4.961159 -0.235101
330102.04 3775000.00 4.859605 0.002678
330122.45 3775000.00 4.763675 -0.150581
330142.86 3775000.00 5.075510 0.022471
330163.27 3775000.00 4.860998 0.044633
330183.67 3775000.00 5.155761 -0.246751
330204.08 3775000.00 5.154290 0.099070
330224.49 3775000.00 4.921914 -0.172260
330244.90 3775000.00 5.230882 -0.081703
330265.31 3775000.00 4.799215 -0.201642
330285.71 3775000.00 5.177231 0.051863
330306.12 3775000.00 5.157756 0.114866
330326.53 3775000.00 5.023066 0.236558
330346.94 3775000.00 4.945010 0.026020
330367.35 3775000.00 5.171239 0.059260
330387.76 3775000.00 5.188158 0.038676
330408.16 3775000.00 5.110299 -0.227088
330428.57 3775000.00 4.872578 -0.105306
330448.98 3775000.00 4.799018 -0.133605
330469.39 3775000.00 4.809966 -0.111013
330489.80 3775000.00 5.077485 -0.067584
330510.20 3775000.00 4.944733 -0.145246
330530.61 3775000.00 4.892955 0.218327
330551.02 3775000.00 5.083139 0.054566
330571.43 3775000.00 4.844198 0.114563
330591.84 3775000.00 4.839714 -0.060272
330612.24 3775000.00 5.252066 0.070000
330632.65 3775000.00 5.035012 0.092307
330653.06 3775000.00 5.177168 0.138000
330673.47 3775000.00 4.869476 -0.233950
330693.88 3775000.00 4.911919 -0.116130
330714.29 3775000.00 4.858975 0.221455
330734.69 3775000.00 5.191026 -0.092661
330755.10 3775000.00 5.079995 -0.052184
330775.51 3775000.00 5.209063 -0.020574
330795.92 3775000.00 4.883821 -0.126686
330816.33 3775000.00 5.031730 -0.118629
330836.73 3775000.00 5.043071 0.198911
330857.14 3775000.00 4.950268 -0.140340
330877.55 3775000.00 5.249176 0.004763
330897.96 3775000.00 4.795741 -0.226442
